case_id,scenario_type,user_input,actual_answer,overall_result,failure_summary,trace_url
tp-v2-001,happy_path,What will the weather be in Kathmandu on 2026-10-15?,"On October 15, 2026, the weather in Kathmandu is expected to be sunny with a maximum temperature of 24°C and a minimum of 13°C. There is a 5% chance of precipitation.",PASS,PASS,
tp-v2-002,happy_path,What will the weather be in Boston on 2026-09-10?,"On September 10, 2026, the weather in Boston is expected to be rainy with a high of 18°C and a low of 12°C. There is an 80% chance of precipitation.",PASS,PASS,
tp-v2-003,happy_path,What will the weather be in Chicago on 2026-09-12?,"On September 12, 2026, the weather in Chicago is expected to be windy, with a maximum temperature of 22°C and a minimum of 14°C. There is a 15% chance of precipitation.",PASS,PASS,
tp-v2-004,happy_path,What will the weather be in San Francisco on 2026-09-14?,"On September 14, 2026, the weather in San Francisco is expected to be cloudy with a high of 18°C and a low of 12°C. There is a 15% chance of precipitation.",PASS,PASS,
tp-v2-005,happy_path,What will the weather be in Kathmandu on 2026-10-16?,"On October 16, 2026, the weather in Kathmandu is expected to be rainy with a maximum temperature of 20°C and a minimum of 14°C. There is a 75% chance of precipitation.",PASS,PASS,
tp-v2-006,happy_path,What will the weather be in Boston on 2026-09-11?,"On September 11, 2026, the weather in Boston is expected to be clear with a high of 21°C (70°F) and a low of 13°C (55°F). There is a 10% chance of precipitation.",PASS,PASS,
tp-v2-007,happy_path,What will the weather be in Chicago on 2026-09-13?,"On September 13, 2026, the weather in Chicago is expected to be clear with a high of 23°C and a low of 15°C. There is a 5% chance of precipitation.",PASS,PASS,
tp-v2-008,happy_path,What will the weather be in San Francisco on 2026-09-15?,"On September 15, 2026, the weather in San Francisco is expected to be foggy with a maximum temperature of 17°C and a minimum of 11°C. There is a 10% chance of precipitation.",PASS,PASS,
tp-v2-009,happy_path,What will the weather be in Kathmandu on 2026-10-17?,"On October 17, 2026, in Kathmandu, the weather is expected to be cloudy with a maximum temperature of 22°C and a minimum of 13°C. There is a 25% chance of precipitation.",PASS,PASS,
tp-v2-010,happy_path,What will the weather be in Boston on 2026-09-12?,"On September 12, 2026, the weather in Boston is expected to be cloudy with a high of 19°C (66°F) and a low of 12°C (54°F). There is a 25% chance of precipitation.",PASS,PASS,
tp-v2-011,happy_path,What will the weather be in Chicago on 2026-09-14?,"On September 14, 2026, the weather in Chicago is expected to be rainy with a maximum temperature of 19°C and a minimum of 13°C. There is a 75% chance of precipitation.",PASS,PASS,
tp-v2-012,happy_path,What will the weather be in San Francisco on 2026-09-16?,"On September 16, 2026, the weather in San Francisco is expected to be clear with a maximum temperature of 20°C and a minimum of 12°C. There is a 5% chance of precipitation.",PASS,PASS,
tp-v2-013,happy_path,Find museum attractions in Kathmandu.,"Here are museum attractions in Kathmandu:

1. **National Museum**
   - **Address**: Synthetic fixture address, Kathmandu
   - **Opening Hours**: Monday: 10:00–16:30
   - **Description**: Deterministic evaluation fixture.

Let me know if you'd like more details about any of these attractions!",PASS,PASS,
tp-v2-014,happy_path,Find temple attractions in Kathmandu.,"Here are temple attractions in Kathmandu:

1. **Swayambhunath**  
   - **Address**: Synthetic fixture address, Kathmandu  
   - **Opening Hours**: Monday: 07:00–18:00  
   - **Description**: A prominent Buddhist stupa and temple complex, known for its panoramic views and spiritual significance.

Let me know if you'd like more details about any of these temples!",PASS,PASS,
tp-v2-015,happy_path,Find museum attractions in Boston.,"Here are some museum attractions in Boston:

1. **Museum of Fine Arts**
   - **Address**: Synthetic fixture address, Boston
   - **Opening Hours**: Monday: 10:00–17:00
   - **Description**: A renowned museum featuring a diverse collection of art from around the world.

Let me know if you'd like more details about any of these attractions!",PASS,PASS,
tp-v2-016,happy_path,Find historic attractions in Boston.,"Here are some historic attractions in Boston:

1. **Freedom Trail**  
   - **Address**: Synthetic fixture address, Boston  
   - **Opening Hours**: Monday: 09:00–17:00  
   - **Description**: A 2.5-mile-long trail that connects 16 historically significant sites in Boston.  

Let me know if you'd like more details about any of these attractions!",PASS,PASS,
