"case_id","dataset_version","scenario_type","difficulty","fixture_id","eval_user_id","llm_mode","memory_mode","travel_data_mode","user_message","conversation_context","initial_memories","expected_tools","tool_sequence_mode","expected_tool_arguments","forbidden_tools","max_tool_calls","expected_retrieved_memories","expected_memory_writes","forbidden_memory_writes","must_include","must_not_include","expected_status","expected_error","evaluation_notes"
"tp-v2-001","v2","happy_path","easy","weather-kathmandu","eval-user-001","deterministic","fixture","fixture","What will the weather be in Kathmandu on 2026-10-15?","[]","[]","[""get_weather""]","exact","{""get_weather"":{""city"":""Kathmandu"",""date"":""2026-10-15""}}","[""search_traveler_memory"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Kathmandu"",""sunny""]","[""I saved"",""I remembered""]","success","","Direct weather lookup; memory is irrelevant."
"tp-v2-002","v2","happy_path","easy","weather-boston","eval-user-002","deterministic","fixture","fixture","What will the weather be in Boston on 2026-09-10?","[]","[]","[""get_weather""]","exact","{""get_weather"":{""city"":""Boston"",""date"":""2026-09-10""}}","[""search_traveler_memory"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Boston"",""rain""]","[""I saved"",""I remembered""]","success","","Direct weather lookup; memory is irrelevant."
"tp-v2-003","v2","happy_path","easy","weather-chicago","eval-user-003","deterministic","fixture","fixture","What will the weather be in Chicago on 2026-09-12?","[]","[]","[""get_weather""]","exact","{""get_weather"":{""city"":""Chicago"",""date"":""2026-09-12""}}","[""search_traveler_memory"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Chicago"",""windy""]","[""I saved"",""I remembered""]","success","","Direct weather lookup; memory is irrelevant."
"tp-v2-004","v2","happy_path","easy","weather-san-francisco","eval-user-004","deterministic","fixture","fixture","What will the weather be in San Francisco on 2026-09-14?","[]","[]","[""get_weather""]","exact","{""get_weather"":{""city"":""San Francisco"",""date"":""2026-09-14""}}","[""search_traveler_memory"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""San Francisco"",""cloudy""]","[""I saved"",""I remembered""]","success","","Direct weather lookup; memory is irrelevant."
"tp-v2-005","v2","happy_path","easy","weather-kathmandu","eval-user-005","deterministic","fixture","fixture","What will the weather be in Kathmandu on 2026-10-16?","[]","[]","[""get_weather""]","exact","{""get_weather"":{""city"":""Kathmandu"",""date"":""2026-10-16""}}","[""search_traveler_memory"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Kathmandu"",""rain""]","[""I saved"",""I remembered""]","success","","Direct weather lookup; memory is irrelevant."
"tp-v2-006","v2","happy_path","easy","weather-boston","eval-user-006","deterministic","fixture","fixture","What will the weather be in Boston on 2026-09-11?","[]","[]","[""get_weather""]","exact","{""get_weather"":{""city"":""Boston"",""date"":""2026-09-11""}}","[""search_traveler_memory"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Boston"",""clear""]","[""I saved"",""I remembered""]","success","","Direct weather lookup; memory is irrelevant."
"tp-v2-007","v2","happy_path","easy","weather-chicago","eval-user-007","deterministic","fixture","fixture","What will the weather be in Chicago on 2026-09-13?","[]","[]","[""get_weather""]","exact","{""get_weather"":{""city"":""Chicago"",""date"":""2026-09-13""}}","[""search_traveler_memory"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Chicago"",""clear""]","[""I saved"",""I remembered""]","success","","Direct weather lookup; memory is irrelevant."
"tp-v2-008","v2","happy_path","easy","weather-san-francisco","eval-user-008","deterministic","fixture","fixture","What will the weather be in San Francisco on 2026-09-15?","[]","[]","[""get_weather""]","exact","{""get_weather"":{""city"":""San Francisco"",""date"":""2026-09-15""}}","[""search_traveler_memory"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""San Francisco"",""fog""]","[""I saved"",""I remembered""]","success","","Direct weather lookup; memory is irrelevant."
"tp-v2-009","v2","happy_path","easy","weather-kathmandu","eval-user-009","deterministic","fixture","fixture","What will the weather be in Kathmandu on 2026-10-17?","[]","[]","[""get_weather""]","exact","{""get_weather"":{""city"":""Kathmandu"",""date"":""2026-10-17""}}","[""search_traveler_memory"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Kathmandu"",""cloudy""]","[""I saved"",""I remembered""]","success","","Direct weather lookup; memory is irrelevant."
"tp-v2-010","v2","happy_path","easy","weather-boston","eval-user-010","deterministic","fixture","fixture","What will the weather be in Boston on 2026-09-12?","[]","[]","[""get_weather""]","exact","{""get_weather"":{""city"":""Boston"",""date"":""2026-09-12""}}","[""search_traveler_memory"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Boston"",""cloudy""]","[""I saved"",""I remembered""]","success","","Direct weather lookup; memory is irrelevant."
"tp-v2-011","v2","happy_path","easy","weather-chicago","eval-user-011","deterministic","fixture","fixture","What will the weather be in Chicago on 2026-09-14?","[]","[]","[""get_weather""]","exact","{""get_weather"":{""city"":""Chicago"",""date"":""2026-09-14""}}","[""search_traveler_memory"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Chicago"",""rain""]","[""I saved"",""I remembered""]","success","","Direct weather lookup; memory is irrelevant."
"tp-v2-012","v2","happy_path","easy","weather-san-francisco","eval-user-012","deterministic","fixture","fixture","What will the weather be in San Francisco on 2026-09-16?","[]","[]","[""get_weather""]","exact","{""get_weather"":{""city"":""San Francisco"",""date"":""2026-09-16""}}","[""search_traveler_memory"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""San Francisco"",""clear""]","[""I saved"",""I remembered""]","success","","Direct weather lookup; memory is irrelevant."
"tp-v2-013","v2","happy_path","easy","attractions-kathmandu","eval-user-013","deterministic","fixture","fixture","Find museum attractions in Kathmandu.","[]","[]","[""find_attractions""]","exact","{""find_attractions"":{""city"":""Kathmandu"",""category"":""museum""}}","[""get_weather"",""search_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""National Museum""]","[""saved your itinerary""]","success","","Category lookup must remain grounded in attraction fixtures."
"tp-v2-014","v2","happy_path","easy","attractions-kathmandu","eval-user-014","deterministic","fixture","fixture","Find temple attractions in Kathmandu.","[]","[]","[""find_attractions""]","exact","{""find_attractions"":{""city"":""Kathmandu"",""category"":""temple""}}","[""get_weather"",""search_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Swayambhunath""]","[""saved your itinerary""]","success","","Category lookup must remain grounded in attraction fixtures."
"tp-v2-015","v2","happy_path","easy","attractions-boston","eval-user-015","deterministic","fixture","fixture","Find museum attractions in Boston.","[]","[]","[""find_attractions""]","exact","{""find_attractions"":{""city"":""Boston"",""category"":""museum""}}","[""get_weather"",""search_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Museum of Fine Arts""]","[""saved your itinerary""]","success","","Category lookup must remain grounded in attraction fixtures."
"tp-v2-016","v2","happy_path","easy","attractions-boston","eval-user-016","deterministic","fixture","fixture","Find historic attractions in Boston.","[]","[]","[""find_attractions""]","exact","{""find_attractions"":{""city"":""Boston"",""category"":""historic""}}","[""get_weather"",""search_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Freedom Trail""]","[""saved your itinerary""]","success","","Category lookup must remain grounded in attraction fixtures."
"tp-v2-017","v2","happy_path","easy","attractions-chicago","eval-user-017","deterministic","fixture","fixture","Find museum attractions in Chicago.","[]","[]","[""find_attractions""]","exact","{""find_attractions"":{""city"":""Chicago"",""category"":""museum""}}","[""get_weather"",""search_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Art Institute""]","[""saved your itinerary""]","success","","Category lookup must remain grounded in attraction fixtures."
"tp-v2-018","v2","happy_path","easy","attractions-chicago","eval-user-018","deterministic","fixture","fixture","Find architecture attractions in Chicago.","[]","[]","[""find_attractions""]","exact","{""find_attractions"":{""city"":""Chicago"",""category"":""architecture""}}","[""get_weather"",""search_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Architecture Center""]","[""saved your itinerary""]","success","","Category lookup must remain grounded in attraction fixtures."
"tp-v2-019","v2","happy_path","easy","attractions-san-francisco","eval-user-019","deterministic","fixture","fixture","Find museum attractions in San Francisco.","[]","[]","[""find_attractions""]","exact","{""find_attractions"":{""city"":""San Francisco"",""category"":""museum""}}","[""get_weather"",""search_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""de Young""]","[""saved your itinerary""]","success","","Category lookup must remain grounded in attraction fixtures."
"tp-v2-020","v2","happy_path","easy","attractions-san-francisco","eval-user-020","deterministic","fixture","fixture","Find park attractions in San Francisco.","[]","[]","[""find_attractions""]","exact","{""find_attractions"":{""city"":""San Francisco"",""category"":""park""}}","[""get_weather"",""search_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Golden Gate Park""]","[""saved your itinerary""]","success","","Category lookup must remain grounded in attraction fixtures."
"tp-v2-021","v2","happy_path","easy","attractions-kathmandu","eval-user-021","deterministic","fixture","fixture","Find historic attractions in Kathmandu.","[]","[]","[""find_attractions""]","exact","{""find_attractions"":{""city"":""Kathmandu"",""category"":""historic""}}","[""get_weather"",""search_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Kathmandu Durbar Square""]","[""saved your itinerary""]","success","","Category lookup must remain grounded in attraction fixtures."
"tp-v2-022","v2","happy_path","easy","attractions-boston","eval-user-022","deterministic","fixture","fixture","Find park attractions in Boston.","[]","[]","[""find_attractions""]","exact","{""find_attractions"":{""city"":""Boston"",""category"":""park""}}","[""get_weather"",""search_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Boston Common""]","[""saved your itinerary""]","success","","Category lookup must remain grounded in attraction fixtures."
"tp-v2-023","v2","happy_path","easy","attractions-chicago","eval-user-023","deterministic","fixture","fixture","Find park attractions in Chicago.","[]","[]","[""find_attractions""]","exact","{""find_attractions"":{""city"":""Chicago"",""category"":""park""}}","[""get_weather"",""search_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Millennium Park""]","[""saved your itinerary""]","success","","Category lookup must remain grounded in attraction fixtures."
"tp-v2-024","v2","happy_path","easy","attractions-san-francisco","eval-user-024","deterministic","fixture","fixture","Find historic attractions in San Francisco.","[]","[]","[""find_attractions""]","exact","{""find_attractions"":{""city"":""San Francisco"",""category"":""historic""}}","[""get_weather"",""search_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Alcatraz""]","[""saved your itinerary""]","success","","Category lookup must remain grounded in attraction fixtures."
"tp-v2-025","v2","happy_path","easy","attraction-details","eval-user-025","deterministic","fixture","fixture","Tell me the opening hours and address for Swayambhunath.","[]","[]","[""get_attraction_details""]","exact","{""get_attraction_details"":{""name"":""Swayambhunath""}}","[""get_weather"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Swayambhunath"",""hours"",""address""]","[""I assume""]","success","","Details must come from the named fixture record."
"tp-v2-026","v2","happy_path","easy","attraction-details","eval-user-026","deterministic","fixture","fixture","Tell me the opening hours and address for National Museum.","[]","[]","[""get_attraction_details""]","exact","{""get_attraction_details"":{""name"":""National Museum""}}","[""get_weather"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""National Museum"",""hours"",""address""]","[""I assume""]","success","","Details must come from the named fixture record."
"tp-v2-027","v2","happy_path","easy","attraction-details","eval-user-027","deterministic","fixture","fixture","Tell me the opening hours and address for Freedom Trail.","[]","[]","[""get_attraction_details""]","exact","{""get_attraction_details"":{""name"":""Freedom Trail""}}","[""get_weather"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Freedom Trail"",""hours"",""address""]","[""I assume""]","success","","Details must come from the named fixture record."
