case_id,scenario_type,user_input,actual_answer,overall_result,failure_summary,trace_url
tp-v2-001,happy_path,What will the weather be in Kathmandu on 2026-10-15?,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, must include assertions",
tp-v2-002,happy_path,What will the weather be in Boston on 2026-09-10?,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, must include assertions",
tp-v2-003,happy_path,What will the weather be in Chicago on 2026-09-12?,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, must include assertions",
tp-v2-004,happy_path,What will the weather be in San Francisco on 2026-09-14?,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, must include assertions",
tp-v2-005,happy_path,What will the weather be in Kathmandu on 2026-10-16?,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, must include assertions",
tp-v2-006,happy_path,What will the weather be in Boston on 2026-09-11?,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, must include assertions",
tp-v2-007,happy_path,What will the weather be in Chicago on 2026-09-13?,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, must include assertions",
tp-v2-008,happy_path,What will the weather be in San Francisco on 2026-09-15?,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, must include assertions",
tp-v2-009,happy_path,What will the weather be in Kathmandu on 2026-10-17?,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, must include assertions",
tp-v2-010,happy_path,What will the weather be in Boston on 2026-09-12?,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, must include assertions",
tp-v2-011,happy_path,What will the weather be in Chicago on 2026-09-14?,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, must include assertions",
tp-v2-012,happy_path,What will the weather be in San Francisco on 2026-09-16?,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, must include assertions",
tp-v2-013,happy_path,Find museum attractions in Kathmandu.,"Here is a fixture-grounded museum day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, must include assertions",
tp-v2-014,happy_path,Find temple attractions in Kathmandu.,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, argument correctness, must include assertions",
tp-v2-015,happy_path,Find museum attractions in Boston.,"Here is a fixture-grounded museum day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, must include assertions",
tp-v2-016,happy_path,Find historic attractions in Boston.,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, argument correctness, must include assertions",
tp-v2-017,happy_path,Find museum attractions in Chicago.,"Here is a fixture-grounded museum day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, must include assertions",
tp-v2-018,happy_path,Find architecture attractions in Chicago.,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, argument correctness, must include assertions",
tp-v2-019,happy_path,Find museum attractions in San Francisco.,"Here is a fixture-grounded museum day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, must include assertions",
tp-v2-020,happy_path,Find park attractions in San Francisco.,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, argument correctness, must include assertions",
tp-v2-021,happy_path,Find historic attractions in Kathmandu.,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, argument correctness, must include assertions",
tp-v2-022,happy_path,Find park attractions in Boston.,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, argument correctness, must include assertions",
tp-v2-023,happy_path,Find park attractions in Chicago.,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, argument correctness, must include assertions",
tp-v2-024,happy_path,Find historic attractions in San Francisco.,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, argument correctness, must include assertions",
tp-v2-025,happy_path,Tell me the opening hours and address for Swayambhunath.,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, required tool selection, argument correctness, required tool order",
tp-v2-026,happy_path,Tell me the opening hours and address for National Museum.,"Here is a fixture-grounded museum day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, required tool selection, argument correctness, required tool order",
tp-v2-027,happy_path,Tell me the opening hours and address for Freedom Trail.,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, required tool selection, argument correctness, required tool order",
tp-v2-028,happy_path,Tell me the opening hours and address for Museum of Fine Arts.,"Here is a fixture-grounded museum day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, required tool selection, argument correctness, required tool order",
tp-v2-029,happy_path,Tell me the opening hours and address for Art Institute.,"Here is a fixture-grounded art day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, required tool selection, argument correctness, required tool order",
tp-v2-030,happy_path,Tell me the opening hours and address for Millennium Park.,"Here is a fixture-grounded day plan based on the weather, attractions, and relevant preferences returned by the local tools. Review opening details before departure.",FAIL,"required answer behavior present, required tool selection, argument correctness, required tool order",
